form	lemma	POS	morph
hoc	hic1	PROdem	Case=Abl|Numb=Sing|Gend=MascNeut
ipso	ipse	PROdem	Case=Abl|Numb=Sing|Gend=MascNeut
perspicient	perspicio	VER	Numb=Plur|Mood=Ind|Tense=Fut|Voice=Act|Person=3
omnes	omnis	PROind	Case=Nom|Numb=Plur|Gend=MascFem
,	,	PUNC	MORPH=empty
quantùm	quantum1	PROrel	Case=Nom
posteriori	posterus	ADJqua	Case=Nom|Numb=Plur|Gend=Com|Deg=Comp
ætate	aetas	NOMcom	Case=Abl|Numb=Sing
Romana	Romanus	ADJqua	Case=Abl|Numb=Sing|Gend=Fem|Deg=Pos
Ecelesia	ecclesia	NOMcom	Case=Nom|Numb=Sing
etiã	etiam	ADV	Case=Nom|Numb=Sing|Deg=Pos
ab	ab	PRE	MORPH=empty
eo	is	PROdem	Case=Abl|Numb=Sing|Gend=MascNeut
tantillos	tantillus	PROdem	Case=Acc|Numb=Plur
quod	qui1	CONsub	Case=Nom|Numb=Sing|Gend=Neut
veteris	uetus	ADJqua	Case=Gen|Numb=Sing|Gend=Com|Deg=Pos
disciplinæ	disciplina	NOMcom	Case=Gen|Numb=Sing
reliquum	reliquus	ADJqua	Case=Nom|Numb=Sing|Gend=Neut|Deg=Pos
erat	sum1	VER	Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
)	)	PUNC	MORPH=empty
discesserit	discedo1	VER	Numb=Sing|Mood=Sub|Tense=Perf|Voice=Act|Person=3
:	:	PUNC	MORPH=empty
et	et2	CONcoo	MORPH=empty
in	in	PRE	MORPH=empty
quam	qui1	PROrel	Case=Acc|Numb=Sing|Gend=Fem
miseram	miser	ADJqua	Case=Acc|Numb=Sing|Gend=Fem|Deg=Pos
horribilémque	horribilis	ADJqua	Case=Acc|Numb=Sing|Gend=MascFem|Deg=Pos
{horribilémque}	que	CON	MORPH=empty
tyrannidem	tyrannis	NOMcom	Case=Acc|Numb=Sing
et	et2	CONcoo	MORPH=empty
confusionem	confusio	NOMcom	Case=Acc|Numb=Sing
iam	iam	ADV	Deg=Pos
,	,	PUNC	MORPH=empty
iusto	iustus	ADJqua	Case=Abl|Numb=Sing|Gend=MascNeut|Deg=Pos
Dei	deus	NOMcom	Case=Gen|Numb=Sing
iudicio	iudicium	NOMcom	Case=Abl|Numb=Sing
,	,	PUNC	MORPH=empty
inciderit	incido1	VER	Numb=Sing|Mood=Sub|Tense=Perf|Voice=Act|Person=3
,	,	PUNC	MORPH=empty
vt	ut4	CONsub	MORPH=empty
ab	ab	PRE	MORPH=empty
ea	is	PROdem	Case=Abl|Numb=Sing|Gend=Fem
nos	nos	PROper	Case=Nom|Numb=Plur
summo	superus	ADJqua	Case=Abl|Numb=Sing|Gend=MascNeut|Deg=Sup
Dei	deus	NOMcom	Case=Gen|Numb=Sing
Optimi	Optimus	ADJqua	Case=Gen|Numb=Sing|Gend=MascNeut
Maximi	magnus	ADJqua	Case=Gen|Numb=Sing|Gend=MascNeut|Deg=Sup
beneficio	beneficium	NOMcom	Case=Abl|Numb=Sing
liberatos	libero	VER	Case=Acc|Numb=Plur|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass
esse	sum1	VER	Mood=Inf|Tense=Pres|Voice=Act
lætemur	laetor	VER	Numb=Plur|Mood=Sub|Tense=Pres|Voice=Dep|Person=1
,	,	PUNC	MORPH=empty
Deòque	deus	NOMcom	Case=Dat|Numb=Sing
{Deòque}	que	CON	MORPH=empty
ipsi	ipse	PROdem	Case=Dat|Numb=Plur|Gend=Com
perpetuò	perpetuo2	ADV	Deg=Pos
gratias	gratia	NOMcom	Case=Acc|Numb=Plur
agamus	ago	VER	Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=1
.	.	PUNC	MORPH=empty
ILLVSTRISSIMO	illustris	ADJqua	Case=Dat|Numb=Sing|Gend=MascNeut|Deg=Sup
ET	et2	CONcoo	Case=Dat|Numb=Sing
POTENTISSIMO	potens	ADJqua	Case=Dat|Numb=Sing|Gend=MascNeut|Deg=Sup
PRINCIPI	princeps1	NOMcom	Case=Dat|Numb=Sing
ac	ac1	CONcoo	MORPH=empty
domino	dominus	NOMcom	Case=Dat|Numb=Sing
D.	Decimus	NOMpro	Case=Dat|Numb=Sing
Gulielmo	Gulielmus	NOMpro	Case=Dat|Numb=Sing
Principi	princeps1	NOMcom	Case=Dat|Numb=Sing
Auracio	Auracium	NOMpro	Case=Dat|Numb=Sing
Comiti	comes	NOMcom	Case=Dat|Numb=Sing
Nassauao	Nassauaus	ADJqua	Case=Dat|Numb=Sing|Gend=Com
etc	et2	CONcoo	Deg=Pos
·	.	PUNC	MORPH=empty
Christi	Christus	NOMpro	Case=Gen|Numb=Sing
gloriæ	gloria	NOMcom	Case=Dat|Numb=Sing
assertori	assertor	NOMcom	Case=Dat|Numb=Sing
in	in	PRE	MORPH=empty
Hollandia	Hollandia	NOMpro	Case=Acc|Numb=Plur
et	et2	CONcoo	MORPH=empty
Zelandia	Zelandia	NOMpro	Case=Abl|Numb=Sing
fortissimo	fortis	ADJqua	Case=Dat|Numb=Sing|Gend=MascNeut|Deg=Sup
,	,	PUNC	MORPH=empty
Gratiam	gratia	NOMcom	Case=Acc|Numb=Sing
et	et2	CONcoo	MORPH=empty
pacem	pax	NOMcom	Case=Acc|Numb=Sing
à	ab	PRE	MORPH=empty
Domino	dominus	NOMcom	Case=Abl|Numb=Sing
.	.	PUNC	MORPH=empty
Vetus	uetus	ADJqua	Case=Nom|Numb=Sing
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
illud	ille	PROdem	Case=Nom|Numb=Sing|Gend=Neut
,	,	PUNC	MORPH=empty
Princeps	princeps1	NOMcom	Case=Nom|Numb=Sing
Illustrissime	illustris	ADV	Deg=Sup
,	,	PUNC	MORPH=empty
etiam	etiam	ADV	Deg=Pos
ab	ab	PRE	MORPH=empty
Aristotele	Aristoteles	NOMpro	Case=Abl|Numb=Sing
vsurpatum	usurpo	VER	Case=Acc|Numb=Sing|Gend=Neut|Mood=Par|Tense=Perf|Voice=Pass
,	,	PUNC	MORPH=empty
Nihil	nihil	PROind	Case=Ind
esse	sum1	VER	Mood=Inf|Tense=Pres|Voice=Act
in	in	PRE	MORPH=empty
ipsa	ipse	PROdem	Case=Abl|Numb=Sing|Gend=Fem
rerum	res	NOMcom	Case=Gen|Numb=Plur
vniuersitate	uniuersitas	NOMcom	Case=Abl|Numb=Sing
pulchrius	pulcher	ADJqua	Case=Nom|Numb=Sing|Gend=Neut|Deg=Comp
ordine	ordo	NOMcom	Case=Abl|Numb=Sing
.	.	PUNC	MORPH=empty
Quid	quis1	PROint	Case=Nom|Numb=Sing|Gend=Neut
enim	enim2	CONcoo	MORPH=empty
vel	uel2	CONcoo	MORPH=empty
oculis	oculus	NOMcom	Case=Dat|Numb=Plur
iucũdũ	iucundus	ADJqua	Case=Acc|Numb=Sing|Gend=Com
,	,	PUNC	MORPH=empty
vel	uel2	CONcoo	MORPH=empty
menti	mens	NOMcom	Case=Dat|Numb=Sing
etiam	etiam	ADV	Deg=Pos
ipsi	ipse	PROdem	Case=Dat|Numb=Sing|Gend=Com
et	et2	CONcoo	MORPH=empty
animo	animus	NOMcom	Case=Dat|Numb=Sing
hominis	homo	NOMcom	Case=Gen|Numb=Sing
gratum	gratus	ADJqua	Case=Nom|Numb=Sing|Gend=Neut|Deg=Pos
obuersari	obuersor	VER	Mood=Inf|Tense=Pres|Voice=Dep
potest	possum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
,	,	PUNC	MORPH=empty
quod	qui1	PROrel	Case=Nom|Numb=Sing|Gend=Neut
sit	sum1	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
confusum	confusus	ADJqua	Case=Nom|Numb=Sing|Gend=Neut|Deg=Pos
,	,	PUNC	MORPH=empty
et	et2	CONcoo	MORPH=empty
nulla	nullus	PROind	Case=Abl|Numb=Sing|Gend=Fem
partium	pars	NOMcom	Case=Gen|Numb=Plur
apta	aptus	ADJqua	Case=Abl|Numb=Sing|Gend=Fem|Deg=Pos
separatione	separatio	NOMcom	Case=Abl|Numb=Sing
distinctum	distinctus2	ADJqua	Case=Nom|Numb=Sing|Gend=Neut|Mood=Par|Tense=Perf|Voice=Pass
?	?	PUNC	MORPH=empty
Certè	certe	ADV	Deg=Pos
quocunque	quocumque1	ADVrel	Case=Nom|Gend=MascNeut
nõ	no	ADVneg	Numb=Sing
tantum	tantum2	ADV	MORPH=empty
oculos	oculus	NOMcom	Case=Acc|Numb=Plur
,	,	PUNC	MORPH=empty
sed	sed	CONcoo	MORPH=empty
omnes	omnis	PROind	Case=Acc|Numb=Plur|Gend=MascFem
animi	animus	NOMcom	Case=Gen|Numb=Sing
sensus	sensus	NOMcom	Case=Acc|Numb=Plur|Gend=Masc
cõuerterimus	conuerto	VER	Numb=Plur|Mood=Ind|Tense=FutAnt|Voice=Act|Person=2
,	,	PUNC	MORPH=empty
si	si2	CONsub	MORPH=empty
quæ	qui1	PROind	Case=Nom|Numb=Plur|Gend=Neut
in	in	PRE	MORPH=empty
eos	is	PROdem	Case=Acc|Numb=Plur|Gend=Masc
incurrunt	incurro	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
,	,	PUNC	MORPH=empty
neque	neque	CONcoo	MORPH=empty
ordine	ordo	NOMcom	Case=Abl|Numb=Sing
digesta	digero	VER	Case=Nom|Numb=Sing|Gend=Neut|Mood=Par|Tense=Perf|Voice=Pass
,	,	PUNC	MORPH=empty
neque	neque	CONcoo	MORPH=empty
apto	aptus	ADJqua	Case=Abl|Numb=Sing|Gend=MascNeut|Deg=Pos
siru	sirus	NOMcom	Numb=Sing
inter	inter	PRE	MORPH=empty
se	sui1	PROref	Case=Acc|Numb=Sing
cohęrẽtia	cohaerentia	NOMcom	Case=Nom|Numb=Sing
,	,	PUNC	MORPH=empty
neque	neque	CONcoo	MORPH=empty
conuenienti	conueniens	ADJqua	Case=Abl|Numb=Sing|Gend=Com|Deg=Pos
loco	locus	NOMcom	Case=Abl|Numb=Sing
et	et2	CONcoo	MORPH=empty
modo	modo1	ADV	Case=Abl
collocata	colloco	VER	Case=Nom|Numb=Plur|Gend=Fem|Mood=Par|Tense=Perf|Voice=Pass
à	ab	PRE	MORPH=empty
nobis	nos	PROper	Case=Abl|Numb=Plur
apparebũt	appareo	NOMcom	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
:	:	PUNC	MORPH=empty
ea	is	PROdem	Case=Nom|Numb=Plur|Gend=Neut
neque	neque	CONcoo	MORPH=empty
utilitatem	utilitas	NOMcom	Case=Acc|Numb=Sing
,	,	PUNC	MORPH=empty
neque	neque	CONcoo	MORPH=empty
venustatem	uenustas	NOMcom	Case=Acc|Numb=Sing
aliquam	aliquis	PROind	Case=Acc|Numb=Sing|Gend=Fem
habere	habeo	VER	Mood=Inf|Tense=Pres|Voice=Act
statim	statim	ADV	Deg=Pos
pronuntiabimus	pronuntio	VER	Numb=Plur|Mood=Ind|Tense=Fut|Voice=Act|Person=1
,	,	PUNC	MORPH=empty
tantûmque	tantum2	ADV	MORPH=empty
{tantûmque}	que	CON	MORPH=empty
ab	ab	PRE	MORPH=empty
ilIis	ille	PROdem	Case=Abl|Numb=Plur|Gend=Com
oculorum	oculus	NOMcom	Case=Gen|Numb=Plur
,	,	PUNC	MORPH=empty
animique	animus	NOMcom	Case=Gen|Numb=Sing
{animique}	que	CON	MORPH=empty
intuitum	intueor	VER	Case=Acc|Numb=Sing|Gend=MascNeut|Mood=Par|Tense=Perf|Voice=Dep
auertemus	auerto	VER	Numb=Plur|Mood=Ind|Tense=Fut|Voice=Act|Person=1
,	,	PUNC	MORPH=empty
quantum	quantum3	ADVrel	MORPH=empty
ea	is	PROdem	Case=Nom|Numb=Plur|Gend=Neut
nos	nos	PROper	Case=Acc|Numb=Plur
ad	ad2	PRE	MORPH=empty
se	sui1	PROref	Case=Acc|Numb=Sing
rapiunt	rapio	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
,	,	PUNC	MORPH=empty
quę	que	PROrel	MORPH=empty
cõmoda	commodus	NOMcom	Case=Abl|Numb=Sing
,	,	PUNC	MORPH=empty
|	|	PUNC	MORPH=empty
propriáque	proprius	ADJqua	Case=Abl|Numb=Sing|Gend=Fem|Deg=Pos
{propriáque}	que	CON	MORPH=empty
ratione	ratio	NOMcom	Case=Abl|Numb=Sing
;	;	PUNC	MORPH=empty
,	,	PUNC	MORPH=empty
et	et2	CONcoo	MORPH=empty
dispositione	dispositio	NOMcom	Case=Abl|Numb=Sing
distinguũtur	distinguo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass
.	.	PUNC	MORPH=empty
Hoc	hic1	PROdem	Case=Nom|Numb=Sing|Gend=Neut
in	in	PRE	MORPH=empty
Regno	regnum	NOMcom	Case=Abl|Numb=Sing
,	,	PUNC	MORPH=empty
hoc	hic1	PROdem	Case=Nom|Numb=Sing|Gend=Neut
in	in	PRE	MORPH=empty
Rep	respublica	NOMcom	Case=Abl|Numb=Sing
.	.	PUNC	MORPH=empty
hoc	hic1	PROdem	Case=Nom|Numb=Sing|Gend=Neut
in	in	PRE	MORPH=empty
oppidis	oppidum	NOMcom	Case=Abl|Numb=Plur
,	,	PUNC	MORPH=empty
hoc	hic1	PROdem	Case=Nom|Numb=Sing|Gend=Neut
in	in	PRE	MORPH=empty
pagis	pagus	NOMcom	Case=Abl|Numb=Plur
,	,	PUNC	MORPH=empty
hoc	hic1	PROdem	Case=Nom|Numb=Sing|Gend=MascNeut
in	in	PRE	MORPH=empty
priuatorũ	priuatus	ADJqua	Case=Gen|Numb=Plur|Gend=MascNeut
ædibus	aedes	NOMcom	Case=Abl|Numb=Plur
,	,	PUNC	MORPH=empty
hoc	hic1	PROdem	Case=Nom|Numb=Sing|Gend=Neut
in	in	PRE	MORPH=empty
hortis	hortus	NOMcom	Case=Abl|Numb=Plur
,	,	PUNC	MORPH=empty
et	et2	CONcoo	MORPH=empty
cultis	colo2	ADJqua	Case=Abl|Numb=Plur|Gend=Com
sedibus	sedes	NOMcom	Case=Abl|Numb=Plur
,	,	PUNC	MORPH=empty
hoc	hic1	PROdem	Case=Nom|Numb=Sing|Gend=Neut
in	in	PRE	MORPH=empty
solitudine	solitudo	NOMcom	Case=Abl|Numb=Sing
,	,	PUNC	MORPH=empty
hoc	hic1	PROdem	Case=Nom|Numb=Sing|Gend=MascNeut
in	in	PRE	MORPH=empty
rebus	res	NOMcom	Case=Abl|Numb=Plur
que	que	CONcoo	MORPH=empty
natura	natura	NOMcom	Case=Nom|Numb=Sing
gignũtur	gigno	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
,	,	PUNC	MORPH=empty
hoc	hic1	PROdem	Case=Nom|Numb=Sing|Gend=Neut
in	in	PRE	MORPH=empty
artificijs	artificium	NOMcom	Case=Abl|Numb=Plur
quę	que	PROrel	MORPH=empty
hominũ	homo	NOMcom	Case=Nom|Numb=Sing
industria	industria	NOMcom	Case=Nom|Numb=Sing
efficiũtur	efficio	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
,	,	PUNC	MORPH=empty
verũ	uerus	ADJqua	Case=Acc|Numb=Sing|Gend=Com
esse 	sum1	VER	Mood=Inf|Tense=Pres|Voice=Act
ipsa	ipse	PROdem	Case=Nom|Numb=Sing|Gend=Fem
rerum	res	NOMcom	Case=Gen|Numb=Plur
experientia	experientia	NOMcom	Case=Abl|Numb=Sing
,	,	PUNC	MORPH=empty
et	et2	CONcoo	MORPH=empty
publica	publicus2	ADJqua	Case=Abl|Numb=Sing|Deg=Pos
mortalium	mortalis1	NOMcom	Case=Gen|Numb=Plur
omnium	omnis	PROind	Case=Gen|Numb=Plur|Gend=Com
,	,	PUNC	MORPH=empty
non	non	ADVneg	MORPH=empty
tantum	tantum2	ADV	Deg=Pos
piorum	pius	ADJqua	Case=Gen|Numb=Plur|Gend=MascNeut|Deg=Pos
,	,	PUNC	MORPH=empty
sed	sed	CONcoo	MORPH=empty
etiam	etiam	ADV	Deg=Pos
profanorum	profanus	ADJqua	Case=Gen|Numb=Plur|Gend=MascNeut|Deg=Pos
hominũ	homo	NOMcom	Case=Ind|Numb=Sing
vox	uox	NOMcom	Case=Nom|Numb=Sing
testatur	testor	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=3
:	:	PUNC	MORPH=empty
denique	denique	ADV	Deg=Pos
Mundus	mundus2	ADJqua	Case=Nom|Numb=Sing
ipse	ipse	PROdem	Case=Nom|Numb=Sing|Gend=Masc
,	,	PUNC	MORPH=empty
pulcherrimũ	pulcher	ADJqua	Case=Gen|Numb=Sing|Gend=MascNeut|Deg=Sup
Dei	deus	NOMcom	Case=Gen|Numb=Sing
opus	opus1	NOMcom	Case=Nom|Numb=Sing
,	,	PUNC	MORPH=empty
ab	ab	PRE	MORPH=empty
ordine	ordo	NOMcom	Case=Abl|Numb=Sing
κόσμος	[Greek]	FOR	MORPH=empty
nominatur	nomino	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
.	.	PUNC	MORPH=empty
Quò	quo1	ADVrel	MORPH=empty
magis	magis2	ADV	Deg=Comp
detestanda	detestor	VER	Case=Nom|Numb=Sing|Gend=Fem|Mood=Adj|Voice=Dep
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
eorum	is	PROdem	Case=Gen|Numb=Plur|Gend=MascNeut
sentẽtia	sententia	NOMcom	Case=Nom|Numb=Sing
,	,	PUNC	MORPH=empty
qui	qui1	PROrel	Case=Nom|Numb=Sing|Gend=Masc
rerum	res	NOMcom	Case=Gen|Numb=Plur
confusione	confusio	NOMcom	Case=Abl|Numb=Sing
non	non	ADVneg	MORPH=empty
tantum	tantum2	ADV	Deg=Pos
apud	apud	PRE	MORPH=empty
se	sui1	PROref	Case=Acc|Numb=Sing
delectãtur	delecto	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
:	:	PUNC	MORPH=empty
sed	sed	CONcoo	MORPH=empty
omnia	omnis	PROind	Case=Acc|Numb=Plur|Gend=Neut
publica	publicus2	ADJqua	Case=Acc|Numb=Plur|Gend=Neut|Deg=Pos
priuatáque	priuatus	ADJqua	Case=Acc|Numb=Plur|Gend=Neut|Deg=Pos
{priuatáque}	que	CON	MORPH=empty
euertere	euerto	VER	Mood=Inf|Tense=Pres|Voice=Act
,	,	PUNC	MORPH=empty
et	et2	CONcoo	MORPH=empty
perturbationem	perturbatio	NOMcom	Case=Acc|Numb=Sing
(	(	PUNC	MORPH=empty
iusto	iustus	ADJqua	Case=Abl|Numb=Sing|Gend=MascNeut|Deg=Pos
ordine	ordo	NOMcom	Case=Abl|Numb=Sing
sublato	tollo	VER	Case=Abl|Numb=Sing|Gend=MascNeut|Mood=Par|Tense=Perf|Voice=Pass|Person=2
)	)	PUNC	MORPH=empty
in	in	PRE	MORPH=empty
res	res	NOMcom	Case=Acc|Numb=Plur
omnes	omnis	PROind	Case=Acc|Numb=Plur|Gend=MascFem
inducere	induco	VER	Mood=Inf|Tense=Pres|Voice=Act
conantur	conor	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Dep|Person=3
,	,	PUNC	MORPH=empty
quos	qui1	PROrel	Case=Acc|Numb=Plur|Gend=Masc
homines	homo	NOMcom	Case=Acc|Numb=Plur
ἀτακτους	[Greek]	FOR	MORPH=empty
et	et2	CONcoo	MORPH=empty
Ἀναρχικους	[Greek]	FOR	MORPH=empty
,	,	PUNC	MORPH=empty
tanquã	tamquam2	ADJqua	Case=Acc|Numb=Sing|Gend=Neut
mõstra	monstrum	NOMcom	Case=Acc|Numb=Plur|Gend=MascNeut
,	,	PUNC	MORPH=empty
et	et2	CONcoo	MORPH=empty
generis	genus1	NOMcom	Case=Gen|Numb=Sing
humani	humanus	ADJqua	Case=Gen|Numb=Sing|Gend=MascNeut|Deg=Pos
ἀλάςτορας	[Greek]	FOR	MORPH=empty
,	,	PUNC	MORPH=empty
iam	iam	ADV	Deg=Pos
pridem	pridem	ADV	Deg=Pos
veteres	uetus	ADJqua	Case=Acc|Numb=Plur|Gend=MascFem|Deg=Pos
appellarũt	appello1	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
.	.	PUNC	MORPH=empty
Cæterũ	ceterum2	ADV	MORPH=empty
si	si2	CONsub	MORPH=empty
qua	quis2	PROind	Case=Nom|Numb=Sing|Gend=Fem
in	in	PRE	MORPH=empty
re	res	NOMcom	Case=Abl|Numb=Sing
alia	alius	PROind	Case=Nom|Numb=Sing|Gend=Fem
ordinis	ordo	NOMcom	Case=Gen|Numb=Sing
obseruatio	obseruatio	NOMcom	Case=Nom|Numb=Sing
diligens	diligens	ADJqua	Case=Nom|Numb=Sing|Gend=Com|Deg=Pos
non	non	ADVneg	MORPH=empty
tãtũ	tantum2	ADV	MORPH=empty
vtilis	utilis	ADJqua	Case=Nom|Numb=Sing|Gend=MascFem|Deg=Pos
,	,	PUNC	MORPH=empty
sed	sed	CONcoo	MORPH=empty
etiã	etiam	ADV	Case=Nom|Numb=Sing|Deg=Pos
omninò	omnino	ADV	Deg=Pos
necessaria	necessarius2	ADJqua	Case=Nom|Numb=Sing|Gend=Fem|Deg=Pos
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
,	,	PUNC	MORPH=empty
maximè	magis2	ADV	Deg=Sup
in	in	PRE	MORPH=empty
Ecclesia	ecclesia	NOMcom	Case=Abl|Numb=Sing
Dei	deus	NOMcom	Case=Gen|Numb=Sing
locum	locus	NOMcom	Case=Acc|Numb=Sing
habere	habeo	VER	Mood=Inf|Tense=Pres|Voice=Act
ex	ex	PRE	MORPH=empty
Pauli	Paulus	NOMpro	Case=Gen|Numb=Sing
Apostoli	apostolus	NOMpro	Case=Gen|Numb=Sing
præcepto	praeceptum	NOMcom	Case=Abl|Numb=Sing
debet	debeo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
.	.	PUNC	MORPH=empty
Est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
enim	enim2	CONcoo	MORPH=empty
Ecclesia	ecclesia	NOMcom	Case=Nom|Numb=Sing
domus	domus	NOMcom	Case=Gen|Numb=Sing
Dei	deus	NOMcom	Case=Gen|Numb=Sing
,	,	PUNC	MORPH=empty
id	is	PROdem	Case=Nom|Numb=Sing|Gend=Neut
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
summi	superus	ADJqua	Case=Gen|Numb=Sing|Gend=MascNeut|Deg=Sup
illius	ille	PROdem	Case=Gen|Numb=Sing|Gend=Com
regum	rex	NOMcom	Case=Gen|Numb=Plur
Regis	rex	NOMcom	Case=Gen|Numb=Sing
,	,	PUNC	MORPH=empty
in	in	PRE	MORPH=empty
qua	qui1	PROrel	Case=Abl|Numb=Sing|Gend=Fem
idcirco	idcirco	ADV	Deg=Pos
omnia	omnis	PROind	Case=Acc|Numb=Plur|Gend=Neut
circũspectè	circumspecte	ADV	MORPH=empty
,	,	PUNC	MORPH=empty
aptè	apte	ADV	Deg=Pos
,	,	PUNC	MORPH=empty
decenter	decenter	ADV	Deg=Pos
,	,	PUNC	MORPH=empty
et	et2	CONcoo	MORPH=empty
,	,	PUNC	MORPH=empty
vt	ut1	ADVrel	MORPH=empty
Paulus	Paulus	NOMpro	Case=Nom|Numb=Sing
ipse	ipse	PROdem	Case=Nom|Numb=Sing|Gend=Masc
loquitur	loquor	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=3
,	,	PUNC	MORPH=empty
ἀσχημόνως	[Greek]	FOR	MORPH=empty
καί	[Greek]	FOR	MORPH=empty
